0	[38]	ridge	0.7	0.610869565217	0.0	-0.207545343352	-0.130111750744	
1332	[8, 18, 20, 21, 28, 42, 57]	ridge	0.7	0.753260869565	0.204347826087	-0.563343703433	[[ 0.28302662]   [ 0.27286137]   [ 0.20348023]   [ 0.24689029]   [-0.19415526]   [-0.10767805]   [ 0.00032338]]	
452	[1, 33, 45]	ridge	0.7	0.628260869565	0.0336956521739	-0.185911225743	[[ 0.33217435]   [-0.19559356]   [-0.12118448]]	
893	[6, 13, 29, 33, 48]	ridge	0.5	0.66847826087	0.110869565217	-0.275739618726	[[ 0.89422611]   [ 0.35183537]   [-0.19563801]   [-0.2412957 ]   [-0.2423403 ]]	
2653	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	ridge	0.5	0.757608695652	0.205434782609	-0.321396373104	[[ 0.30636472]   [ 0.24481731]   [ 0.3699364 ]   [ 0.61911949]   [ 0.23267831]   [-0.11066076]   [-0.04434176]   [-0.19407577]   [-0.38862816]   [-0.53823443]   [-0.21419934]   [-0.15967194]   [ 0.14177168]]	
2213	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	ridge	0.5	0.772826086957	0.225	-0.590858156003	[[  2.65015391e-01]   [  2.43255715e-01]   [  2.30176859e-01]   [  7.91251143e-02]   [ -1.38212293e-01]   [  5.08199819e-02]   [ -1.45131915e-01]   [ -4.27669519e-02]   [ -1.05711658e-01]   [  9.66829916e-01]   [  4.78393035e-04]]	
13	[38]	ridge	0.5	0.589130434783	0.0	-0.218590418907	-0.132277531575	
1773	[1, 3, 8, 15, 19, 31, 43, 48, 49]	ridge	0.5	0.7	0.184782608696	-0.5610744109	[[ 0.21345196]   [ 0.28169464]   [ 0.45822332]   [ 0.58077452]   [ 0.12660023]   [-0.17674482]   [-0.48084152]   [-0.20401883]   [-0.13295913]]	
1333	[8, 18, 20, 21, 28, 42, 57]	ridge	0.5	0.75652173913	0.205434782609	-0.565655971695	[[  3.72787322e-01]   [  2.68570183e-01]   [  2.08078300e-01]   [  2.39123672e-01]   [ -1.86928494e-01]   [ -9.76235327e-02]   [  3.18091498e-04]]	
453	[1, 33, 45]	ridge	0.5	0.6	0.0271739130435	-0.202753829357	[[ 0.34101632]   [-0.18978907]   [-0.12446942]]	
894	[6, 13, 29, 33, 48]	svm	0.7	0.701086956522	0.132608695652	-0.193640300515	[[ 0.71684368]   [ 0.4643991 ]   [-2.33030119]   [-0.62147174]   [-2.19179496]]	
2654	[1, 5, 8, 15, 16, 25, 27, 41, 43, 47, 48, 49, 54]	svm	0.7	0.822826086957	0.266304347826	-0.263201111752	[[ 0.18050657]   [ 0.27221335]   [ 0.53837146]   [ 0.8234585 ]   [ 0.73112909]   [-0.72360232]   [-1.58116004]   [-2.11946095]   [-0.57699919]   [-0.60903624]   [-1.07558551]   [-0.26007933]   [ 1.09169393]]	
1774	[1, 3, 8, 15, 19, 31, 43, 48, 49]	svm	0.7	0.70652173913	0.192391304348	-0.537988879769	[[ 0.24579456]   [ 0.25727326]   [ 0.57711452]   [ 0.82087291]   [ 0.12519149]   [-1.22311278]   [-0.98320239]   [-1.17375553]   [-0.14462718]]	
14	[38]	svm	0.7	0.585869565217	0.0	-0.21926352657	-0.220026423991	
2214	[3, 18, 21, 22, 31, 32, 36, 38, 42, 53, 56]	svm	0.7	0.823913043478	0.259782608696	-0.694302498623	[[ 0.17348301]   [ 0.23967436]   [ 0.19776067]   [ 0.07109032]   [-1.33358438]   [-0.94864783]   [-0.0576475 ]   [-0.0888691 ]   [-0.79486978]   [ 2.7088188 ]   [ 0.00397932]]	
1334	[8, 18, 20, 21, 28, 42, 57]	svm	0.7	0.772826086957	0.238043478261	-0.598607052712	[[  3.85399385e-01]   [  3.24594625e-01]   [  7.10075910e-01]   [  2.56846279e-01]   [ -2.53862731e-01]   [ -1.16766222e+00]   [  4.15861076e-04]]	
454	[1, 33, 45]	svm	0.7	0.625	0.0554347826087	-0.146330777982	[[ 0.35480513]   [-0.63223575]   [-0.28739013]]	
895	[6, 13, 29, 33, 48]	svm	0.5	0.679347826087	0.122826086957	-0.212844874006	[[ 0.79242073]   [ 0.39620829]   [-2.74313403]   [-0.69081957]   [-1.38786899]]	
