features	accuracy	lamda	sensitivity	classibias
[1  5  8  15  16  25  27  41  43  47  48  49  54]	0.845652173913	0.5	0.276086956522	-0.216264006302
[1  3  8  15  19  31  43  48  49]	0.705434782609	0.5	0.178260869565	-0.515525015832
[1  33  45]	0.623913043478	0.7	0.0608695652174	-0.156094405666
[8  18  20  21  28  42  57]	0.780434782609	0.5	0.232608695652	-0.602724910038
[1  33  45]	0.644565217391	0.5	0.0684782608696	-0.137913640963
[1  19  33  35  40]	0.68152173913	0.7	0.166304347826	-0.373713199001
[46]	0.596739130435	0.7	0.0	-0.155288890145
[13  15  18  20  30  31  32  39  41  43  56]	0.742391304348	0.7	0.182608695652	-0.440802444507
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.803260869565	0.7	0.226086956522	-0.510017281353
[1  19  33  35  40]	0.683695652174	0.5	0.160869565217	-0.36990370146
[1  13  15  17  25  36  43  56  57]	0.773913043478	0.7	0.233695652174	-0.414804852805
[16  22  24  29  41  49  54]	0.759782608696	0.7	0.173913043478	-0.289881831605
[46]	0.586956521739	0.5	0.0	-0.15717348514
[13  15  18  20  30  31  32  39  41  43  56]	0.757608695652	0.5	0.183695652174	-0.441701976852
[2  6  7  15  28  32  35  44  48  51  55  56  57]	0.809782608696	0.5	0.240217391304	-0.502116297804
[23  42  47]	0.733695652174	0.7	0.138043478261	-0.31408553828
[1  13  15  17  25  36  43  56  57]	0.811956521739	0.5	0.236956521739	-0.389892358572
[16  22  24  29  41  49  54]	0.767391304348	0.5	0.15652173913	-0.25583927114
[23  42  47]	0.698913043478	0.5	0.120652173913	-0.320411012422
[14  24  38  47  54]	0.689130434783	0.7	0.107608695652	-0.310183819261
[50]	0.584782608696	0.7	0.0	-0.174401535017
[7  13  15  21  22  23  33  40  46  47  49]	0.820652173913	0.7	0.223913043478	-0.57190494744
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.847826086957	0.7	0.284782608696	-0.353546698261
[2  13  17  23  29  37  49  52  53]	0.809782608696	0.7	0.239130434783	-0.481633838257
[14  24  38  47  54]	0.715217391304	0.5	0.111956521739	-0.294121780098
[50]	0.603260869565	0.5	0.0	-0.176496428372
[7  13  15  21  22  23  33  40  46  47  49]	0.827173913043	0.5	0.239130434783	-0.572407265678
[14  26  30  35  36  53  55]	0.80652173913	0.7	0.228260869565	-0.360434628068
[16  28  57]	0.702173913043	0.7	0.14347826087	-0.4117672722
[2  3  4  5  6  7  8  20  25  27  31  49  54]	0.829347826087	0.5	0.273913043478	-0.385927661909
